text,label
"Suured allahindlused kõikidele toodetele! Osta kohe ja säästa.","Reklaam"
"Unikaalsed pakkumised ainult sinule. Ära maga maha!","Reklaam"
"Parimad hinnad, kvaliteetsed tooted. Külasta meie e-poodi nüüd.","Reklaam"
"Algebra on matemaatika haru, mis tegeleb arvude ja tundmatute suhetega.","Matemaatika"
"Diferentsiaalvõrrandid on oluline osa matemaatika uurimisest.","Matemaatika"
"Geomeetria keskendub kujude ja nende omaduste uurimisele.","Matemaatika"
"Kuldne päike tõuseb kõrgel taevas,","Luuletus"
"Armastus õitseb nagu kevadlilled.","Luuletus"
"Öö saabub vaikselt, tähti täis taeva all,","Luuletus"
"Hing rändab unenägudes mõtterännakul.","Luuletus"
"Sügis lehvitab hüvasti, lehed langevad,","Luuletus"
"Igaviku sügavustes helisevad saladused.","Luuletus"
"Tuul sosistab puudele lugusid kaugest maailmast,","Luuletus"
"Sõnad muudavad maailma, loovad uusi reaalsusi.","Luuletus"
"Laulud kajavad mägede vahel,","Luuletus"
"Luuletused on hingepeeglid, avatud südame kaja.","Luuletus"
